Name,Coordinates,Population
Sète,"43.4028, 3.69278",40736
Bornheim,"50.76313, 6.99089",48523
Ballerup,"55.73165, 12.36328",40000
Teulada,"38.7294, 0.10383",14620
Helena-West Helena,"34.5291, -90.59",11109
Timbedgha,"16.2447, -8.1643",17465
Ensenada,"31.87149, -116.60071",279765
Maastricht,"50.84833, 5.68889",122378
Río Bueno,"-40.33494, -72.95564",15456
Liuyin,"29.96207, 106.60996",17505
Chengde,"40.9519, 117.95883",449325
Daru,"-9.07786, 143.20893",15214
Umarkot,"25.36329, 69.74184",42074
Sita Road,"27.03333, 67.85",27587
Świdnik,"51.21898, 22.69621",40050
Pisz,"53.62744, 21.81253",19232
Tabursuq,"36.45692, 9.24751",12727
Keelung,"25.13089, 121.74094",397515
Korsun-Shevchenkivskyy,"49.41822, 31.25174",17763
West Perrine,"25.60594, -80.36283",10602
Cahokia,"38.57088, -90.19011",14402
Olive Branch,"34.96176, -89.82953",36010
Cayce,"33.96571, -81.07398",13619
Somersworth,"43.26175, -70.86534",11759
Jersey City,"40.72816, -74.07764",264290
Greenfield,"36.3208, -121.24381",17184
Sunset Park,"40.64548, -74.01241",126000
Al Ghanāyim,"26.87524, 31.32963",70884
Betanzos,"43.28042, -8.21467",13680
Beasain,"43.05017, -2.20087",13557
Sèvres,"48.82292, 2.21757",23724
Lonate Pozzolo,"45.59213, 8.75194",10958
Carate Brianza,"45.67574, 9.23723",15404
Tadotsu,"34.275, 133.75",23618
Petrich,"41.39846, 23.20702",30722
Duartina,"-22.41444, -49.40389",11902
Boa Vista,"2.81972, -60.67333",419652
Hinganghāt,"20.54875, 78.83978",97568
Beit Jann,"32.96464, 35.38152",12001
Mayiladuthurai,"11.10354, 79.655",86660
Jevargi,"17.01394, 76.77317",20157
West Wickham,"51.36667, -0.01667",14276
Chester Hill,"-33.87896, 150.99945",12765
Marcory,"5.31198, -3.99363",214061
Tiaret,"35.37103, 1.31699",178915
Uttiramerūr,"12.61433, 79.75748",24315
Tādpatri,"14.90832, 78.01031",93044
Savanūr,"14.97335, 75.33724",37819
Sānkrāil,"22.54997, 88.22515",27523
Pārdi,"20.5087, 72.94569",27423
Nāgaur,"27.20201, 73.73394",96847
Karhal,"27.00089, 78.93935",26693
Chafford Hundred,"51.4892, 0.2944",13466
Berekum,"7.4534, -2.58404",70536
Pontevedra,"42.431, -8.64435",81576
Bedēsa,"6.83333, 38.08333",24600
Pori,"61.48333, 21.78333",83491
Villiers-le-Bel,"49.00875, 2.39819",27028
Bagong Pagasa,"14.6627, 121.0328",46365
Bagong Silangan,"14.706, 121.108",106886
Piastów,"52.18435, 20.83952",23290
Jerantut,"3.936, 102.3626",33606
Gua Musang,"4.88441, 101.96857",19731
Ikang,"4.78978, 8.5316",13305
Gaya,"11.86064, 9.0027",20959
Magadan,"59.5638, 150.80347",92782
Gisenyi,"-1.70278, 29.25639",172357
Shibata,"37.95, 139.33333",96236
Icheon-si,"37.27917, 127.4425",196230
Pita Kotte,"6.8905, 79.9015",118179
Coronango,"19.1209, -98.30594",14859
Boulsa,"12.66664, -0.57469",24200
Mount Isa,"-20.72523, 139.49727",22785
Botany,"-33.94599, 151.19591",10732
Paralowie,"-34.75705, 138.60819",16530
Xujia,"31.64476, 109.6713",13461
Tadó,"5.26598, -76.56487",17000
Rezzato,"45.51182, 10.31731",12779
Aubervilliers,"48.91667, 2.38333",70914
Middleton,"53.55, -2.2",45589
Kai Ching Estate,"22.33289, 114.20304",11876
Gijang,"35.24417, 129.21389",43064
Porcia,"45.96301, 12.61642",12987
Ngemplak,"-7.54972, 110.71639",23750
Khobar,"26.27944, 50.20833",165799
Katoro,"-1.39972, 31.50028",11925
Tara,"56.89436, 74.37096",26986
Cherepanovo,"54.2222, 83.381",20125
Amagi,"33.41804, 130.65413",42312
Madera,"36.96134, -120.06072",64208
Lakeland,"28.03947, -81.9498",104401
Belmont,"-38.17485, 144.34276",13767
Lancy,"46.18981, 6.11441",27291
Taranto,"40.46438, 17.24707",198585
Władysławowo,"54.79086, 18.4009",14889
Gniezno,"52.53481, 17.58259",70269
Salamina,"5.40733, -75.48749",18076
Buenos Aires,"9.17298, -83.33277",11680
Jimma,"7.67344, 36.83441",250900
Bayside,"40.84235, -124.06367",17132
Bountiful,"40.88939, -111.88077",43784
Jeffreys Bay,"-34.04526, 24.92146",32477
Mongu,"-15.24835, 23.12741",52534
Santa Ana,"13.99417, -89.55972",176661
Hannibal,"39.70838, -91.35848",17839
Itacarambi,"-15.10222, -44.09194",13084
Hodal,"27.89196, 77.36744",44300
Chūru,"28.30415, 74.96718",103533
Yauri,"-14.79083, -71.40986",23867
Cambanugoy,"7.5413, 125.7553",11693
Jianping,"31.0449, 109.92485",10464
Taizhou,"28.66266, 121.43312",1485502
Rognac,"43.48761, 5.23387",12254
Kuopio,"62.89238, 27.67703",121557
Chicago Heights,"41.50615, -87.6356",30284
Anderson,"40.10532, -85.68025",55305
Shelby,"42.67087, -83.03298",74099
Spuyten Duyvil,"40.88121, -73.91736",10971
Homestead,"25.46872, -80.47756",80737
Mango,"27.97974, -82.30648",11313
Saint-Cloud,"48.84598, 2.20289",28839
Louny,"50.35699, 13.79667",19147
Vlotho,"52.1653, 8.85996",20214
Sarqant,"45.41322, 79.91713",76919
Gao,"16.27167, -0.04472",133110
Delegación Cuajimalpa de Morelos,"19.3692, -99.29089",160491
Carovigno,"40.70626, 17.65847",14043
Depok,"-7.7625, 110.43167",104527
Kottagūdem,"17.55106, 80.61779",79247
Kāti,"17.96137, 75.88895",12022
Cugnaux,"43.53635, 1.34428",15393
Brétigny-sur-Orge,"48.61135, 2.30593",24317
Jahānābād,"25.21368, 84.9871",96387
Illela,"13.73064, 5.29777",17461
Chilca,"-12.52111, -76.73722",12884
Clayton,"35.65071, -78.45639",19304
Marcon-Gaggio-Colmello,"45.56444, 12.29889",12565
Pollachi,"10.65825, 77.0085",88214
Jharia,"23.74079, 86.41456",86938
Komatsu,"36.40263, 136.45088",108509
Kamirenjaku,"35.69423, 139.55495",178739
Jalapa,"14.63472, -89.98889",159840
Xiulin,"29.71667, 112.4",122411
Suozhen,"36.95389, 118.10472",58766
Obando,"4.57583, -75.97389",10970
Maracaí,"-22.61056, -50.66722",11959
Madre de Deus,"-12.74083, -38.62083",14887
Itamaraju,"-17.03917, -39.53111",47628
Ilha Solteira,"-20.43278, -51.3425",24997
Conceição das Alagoas,"-19.91472, -48.38833",16152
Buerarema,"-14.95944, -39.29972",16001
Barreiro do Jaíba,"-15.61532, -43.59187",18167
Quilmes,"-34.72065, -58.25454",262379
Zürich (Kreis 10) / Wipkingen,"47.39503, 8.52529",15718
Tienen,"50.80745, 4.9378",31743
Boboniessoko,"6.96589, -6.65652",27529
Hannié,"5.19401, -7.35304",10356
Voiron,"45.36471, 5.5856",22114
Bou Tlelis,"35.57272, -0.8996",26144
Montecristi,"-1.04576, -80.65889",18351
Mossend,"55.81667, -4.0",13480
Camborne,"50.21306, -5.29731",22500
Bellshill,"55.81667, -4.01667",20650
Milpitas,"37.42827, -121.90662",77604
Lafayette,"39.9936, -105.08971",27729
Thornton,"39.86804, -104.97192",133451
Albany,"44.63651, -123.10593",52175
Oak Hills,"45.54123, -122.84121",11333
Pearl,"32.27459, -90.13203",26462
Glastonbury,"41.71232, -72.60815",31876
Bensenville,"41.95503, -87.94007",18440
Clawson,"42.53337, -83.14632",12015
Daet,"14.1122, 122.9553",78142
Mingora,"34.7795, 72.36265",279914
Vakhrushi,"58.68472, 50.02611",10330
Buzuluk,"52.7807, 52.2635",87714
Bongabon,"15.6321, 121.1448",36168
Tomaszów Lubelski,"50.44767, 23.41616",20261
Mosina,"52.24543, 16.84709",12318
Kryvyy Rih,"47.90572, 33.39404",603904
Höör,"55.93444, 13.5385",12152
Pak Chong,"14.70802, 101.41614",48999
Staffanstorp,"55.64277, 13.20638",15373
Nkowakowa,"-23.88782, 30.28708",30138
Bronkhorstspruit,"-25.81015, 28.74248",27343
Üsküdar,"41.02274, 29.01366",524452
Unhos,"38.81958, -9.12007",10712
Ukrainsk,"48.09777, 37.36526",10655
Brianka,"48.511, 38.67222",44760
Bryukhovetskaya,"45.80603, 38.99959",22309
Rivarolo Canavese,"45.32829, 7.7211",10978
Agrate Brianza,"45.57431, 9.34793",14493
Kasba,"25.85643, 87.53836",26937
Ettlingen,"48.94094, 8.40763",38942
Borna,"51.12416, 12.49639",18806
Majorna,"57.69195, 11.91605",29254
Mboro,"15.14051, -16.88682",27693
Lutsk,"50.75932, 25.34244",215986
Queensbury,"43.37729, -73.61317",27703
Mequon,"43.21555, -88.03001",23132
Pacific Grove,"36.61774, -121.91662",15674
Dashtobod,"40.12694, 68.49444",36500
Zaraza,"9.35029, -65.32452",74017
Colón,"8.03125, -72.26053",62513
Hermanus,"-34.4187, 19.23446",25153
Tshiame,"-28.33057, 28.99087",17800
Bloomington,"40.4842, -88.99369",78292
Les Corts,"41.38712, 2.13007",82270
Mérignac,"44.84247, -0.64512",69791
Berchem-Sainte-Agathe,"50.86567, 4.29557",25162
Valença,"-13.37028, -39.07306",63231
Pitangueiras,"-21.00944, -48.22167",28540
Mafra,"-26.11139, -49.80528",40081
Valozhyn,"54.0892, 26.5266",10488
Chahār Burj,"34.24475, 62.19165",11935
Rawson,"-43.30016, -65.10228",26335
Kalutara,"6.5831, 79.9593",37081
Zuwarah,"32.9312, 12.08199",33887
Shihezi,"44.3023, 86.03694",572772
Xiugu,"27.91132, 116.77637",81153
Qiaoguan,"36.56444, 118.88389",82467
Zhaoyuan,"45.51971, 125.07633",59370
Pingqiao,"29.37376, 107.33793",14926
Amatitán,"20.83388, -103.73076",11006
Labuan,"5.28028, 115.2475",95120
Ifo,"6.81491, 3.19518",88272
Bátonyterenye,"47.96962, 19.84076",14214
Jem’at Oulad ’Abbou,"33.1148, -7.9336",12338
Cuautepec de Hinojosa,"20.03557, -98.31015",18835
Vigevano,"45.31407, 8.85437",57970
Mertoyudan,"-7.52, 110.22639",69871
Abū Sinān,"32.95891, 35.17152",14099
Vāghodia,"22.30505, 73.40016",14606
Nizāmābād,"26.05295, 83.05787",13895
Jora,"26.34209, 77.8092",26338
Muvattupuzha,"9.97985, 76.57381",29246
Tai Wai,"22.37286, 114.17897",19924
Nkambe,"6.63333, 10.66667",26816
Zhuzhai,"34.76111, 116.81389",56908
Saladoblanco,"1.99244, -76.04335",10076
Itaúna,"-20.07528, -44.57639",77400
Orangeville,"43.9168, -80.09967",30734
Santa Elena,"-30.94432, -59.78832",18410
Truganina,"-37.81667, 144.75",36305
Lavington,"-36.03976, 146.93958",12334
Inongo,"-1.9275, 18.2881",68852
Narail,"23.15509, 89.49515",55112
Saint-Gilles,"43.67656, 4.43024",13231
Günzburg,"48.45599, 10.27695",19737
Genthin,"52.40668, 12.1592",14059
Bad Salzuflen,"52.0862, 8.74434",54899
Bad Bramstedt,"53.9183, 9.88424",13177
Marseille 01,"43.29814, 5.38407",40919
Tubbergen,"52.4075, 6.78472",20334
Apeldoorn,"52.21, 5.96944",136670
Rujewa,"-8.7, 34.38333",29228
Dărmăneşti,"46.36667, 26.48333",14290
Mayagüez,"18.20107, -67.13962",73077
Xique Xique,"-10.82294, -42.72815",35433
Powell River,"49.83278, -124.52368",13157
Schmelz,"49.43333, 6.85",17596
Itaquitinga,"-7.66778, -35.10167",11128
Jwaneng,"-24.60167, 24.72806",18784
Tayug,"16.0274, 120.7434",11611
Dhāmpur,"29.30883, 78.51083",49973
Pīshvā,"35.308, 51.7267",53856
Ōme,"35.78389, 139.24306",131895
Zhenjiang,"32.21086, 119.45508",950516
Jincheng,"35.50222, 112.83278",476945
Dunbage,"38.85739, 77.50474",17579
Jovellanos,"22.80375, -81.19127",47164
Vinhedo,"-23.02972, -46.97528",80111
Lagoa Santa,"-19.63006, -43.9009",38486
Jaú,"-22.29639, -48.55778",119206
Vitebsk,"55.1904, 30.2049",342700
Smithfield,"-33.85, 150.93333",11899
Dandenong,"-37.98333, 145.2",30127
Taylors Lakes,"-37.69863, 144.78631",15174
Spruce Grove,"53.53344, -113.91874",36135
Islington-City Centre West,"43.63347, -79.54332",43965
Vincent,"34.50055, -118.11646",15922
Sunland Park,"31.7965, -106.57999",15940
Liberty,"39.24611, -94.41912",30450
Grenada,"33.769, -89.80842",12900
Hammond,"41.58337, -87.50004",77614
Grand Forks,"47.92526, -97.03285",57011
Karang,"13.60778, -16.42694",14624
Tādif,"36.34814, 37.5309",34670
Prachuap Khiri Khan,"11.82098, 99.7841",33521
Balham,"51.44959, -0.15096",14751
Gbarnga,"6.99543, -9.47122",86031
Subang Jaya,"3.04384, 101.58062",708296
Jendouba,"36.50114, 8.78024",51408
Namanga,"-2.55116, 36.78377",14922
Kendall,"25.67927, -80.31727",80241
Oak Harbor,"48.29316, -122.64322",22693
Beshariq,"40.43583, 70.61028",21984
Montebelluna,"45.77504, 12.04904",26670
Motupe,"-6.15194, -79.71417",13681
Hamamatsu,"34.7, 137.73333",791707
Koksan-ŭp,"38.78194, 126.66639",12923
Hyesan-dong,"41.39542, 128.18752",97794
Errachidia,"31.9314, -4.42663",100870
Hakha,"22.64452, 93.61076",20000
Chipeni,"-13.40237, 33.90928",10553
Al Bīrah,"31.91001, 35.21645",38192
Pskov,"57.81404, 28.34493",210501
Murmashi,"68.81542, 32.81147",14152
Kolomyagi,"60.02427, 30.28491",39945
Langepas,"61.25439, 75.2124",40000
Maynard,"42.43343, -71.44951",10106
Trenton,"40.21705, -74.74294",84225
Mercedes,"14.1093, 123.0109",16991
Upper Bicutan,"14.4996, 121.0507",47127
Żary,"51.64205, 15.13727",38779
Jarocin,"51.97266, 17.50256",25665
Casoria,"40.90751, 14.293",73918
Qīr Moāv,"31.18248, 35.69999",22581
Kapuvár,"47.59224, 17.02886",10661
Juwana,"-6.715, 111.1514",40177
Mer’āwī,"11.41667, 37.16667",42200
Villers-Cotterêts,"49.25311, 3.09003",10068
Rennes,"48.11198, -1.67429",220488
North Bethesda,"39.04455, -77.11887",43828
Timberlake,"37.3207, -79.25753",12183
Ottumwa,"41.02001, -92.4113",24624
New Lenox,"41.51198, -87.96561",25800
Rock Island,"41.50948, -90.57875",38620
Falkenberg,"56.90552, 12.49118",24099
Ad Darbāsīyah,"37.07279, 40.65199",21481
Jiaohe,"43.72133, 127.33473",123018
Tongle,"29.46121, 107.19703",18659
Shihao,"28.54082, 106.68069",43680
Maicao,"11.37837, -72.2395",166603
Dorval,"45.4473, -73.75335",18980
Monte Mor,"-22.94667, -47.31583",40290
Mississauga,"43.5789, -79.6583",668549
Mīrābād,"30.43624, 61.8383",14160
Burwood East,"-37.85, 145.15",10675
Weiji,"34.03333, 117.95",48069
Tangwu,"36.44667, 118.85972",93260
Zhangjiakou,"40.78341, 114.87139",692602
Jinggou,"36.28176, 119.55185",62917
Mujia,"22.991, 99.63453",16180
Ipoh,"4.5841, 101.0829",840000
Dobbs Ferry,"41.01454, -73.87264",11131
Silver Firs,"47.86602, -122.1551",20891
Guanare,"9.04183, -69.74206",112286
Severomorsk,"69.06936, 33.40807",53921
Kulebaki,"55.41333, 42.5325",37622
Krasnoarmeysk,"56.1, 38.13333",25688
Sarayköy,"37.92448, 28.92516",18937
Çan,"40.03328, 27.05236",26201
Kamuli,"0.94722, 33.11972",12764
Hockessin,"39.78761, -75.6966",13527
Clayton,"37.94103, -121.93579",11867
Lake Elsinore,"33.66808, -117.32726",61981
Pamandzi,"-12.79674, 45.27938",11442
Forlì,"44.22177, 12.04144",116696
Tatsuno,"35.98426, 137.99721",18951
Buloh Kasap,"2.5536, 102.764",13088
Ikot Ekpene,"5.18194, 7.71481",254806
Loon op Zand,"51.6275, 5.075",23000
Papatoetoe,"-36.9682, 174.84019",49130
Taradale,"-39.53333, 176.85",12456
Yeonggwang,"35.27814, 126.51181",19909
Ciudad Madero,"22.27228, -97.83623",197216
Attock City,"33.76671, 72.35977",85479
Wolin,"53.84214, 14.61465",12438
Lavradio,"38.66808, -9.05204",21877
Belgrade,"44.80401, 20.46513",1273651
Rehoboth,"41.84038, -71.24949",11486
North Lindenhurst,"40.71427, -73.38151",11652
Broadview Heights,"41.31394, -81.68513",19229
Murrysville,"40.4284, -79.69755",20134
Ubatã,"-14.20906, -39.52641",15604
Santos Dumont,"-21.45667, -43.5525",41582
Oshawa,"43.90012, -78.84957",166000
Bowral,"-34.4775, 150.4204",10240
Doropo,"9.80955, -3.34577",48225
Constitución,"-35.33321, -72.41156",37917
Xichang,"21.63333, 108.95",80064
Baichihe,"36.11556, 119.53333",42913
Songjianghe,"42.1859, 127.47895",67672
Oerlinghausen,"51.95453, 8.6622",17403
Bissendorf,"52.23333, 8.16667",14402
Chaïdári,"38.01135, 23.66597",45642
Retalhuleu,"14.53611, -91.67778",90505
Gisors,"49.28178, 1.7801",12363
Kidira,"14.45668, -12.21659",10064
Yeşilli,"37.33813, 40.81739",32072
Çanakkale,"40.15552, 26.41271",143622
Oleshky,"46.62553, 32.72426",24639
Makiivka,"48.04782, 37.92576",338968
Kamyanka,"49.03955, 32.10174",11501
Holly Hill,"29.24359, -81.03756",11943
Effingham,"39.12004, -88.54338",12604
Fort Carson,"38.73749, -104.78886",13813
Megion,"61.0296, 76.1136",48691
Raytown,"39.00862, -94.46356",29401
South Vineland,"39.44595, -75.02879",58122
Woodward,"36.43365, -99.39039",12993
Greeneville,"36.16316, -82.83099",15094
Bull Run,"38.78373, -77.52055",14983
Wolcott,"41.60232, -72.98677",16639
Bershad,"48.36354, 29.51463",12205
Osdorf,"53.57982, 9.85826",26420
Hilpoltstein,"49.19047, 11.1906",13069
Bobingen,"48.27091, 10.8339",16682
Amberg,"49.44287, 11.86267",44737
Tai Yuen Estate,"22.45574, 114.16971",13614
Sassier,"18.58336, -74.11833",10000
Mallow,"52.13333, -8.63333",12459
Stirling,"56.11903, -3.93682",37910
Longton,"52.98333, -2.13333",12794
Hampton,"51.41334, -0.36701",18000
Chotila,"22.42347, 71.19641",15197
Leça da Palmeira,"41.191, -8.70027",17996
Sintansin,"36.45361, 127.43111",15000
Changnyeong,"35.54145, 128.49506",74668
Yong Peng,"2.0136, 103.0659",27138
Lumut,"4.2323, 100.6298",39595
Tibiri,"13.56271, 7.04848",34529
Wurno,"13.29048, 5.42373",13087
Gwoza,"11.08313, 13.69595",15176
Atani,"6.01277, 6.74768",230000
Eersel,"51.3575, 5.31806",18185
Bisceglie,"41.24264, 16.50104",55385
Cassano Magnago,"45.67206, 8.82691",21208
Morohongō,"35.93556, 139.30444",39693
Shimotoda,"35.815, 139.6853",118731
Florennes,"50.25127, 4.60636",10723
Cajazeiras,"-6.89028, -38.55528",43913
Brejo da Madre de Deus,"-8.14583, -36.37111",27369
São João da Barra,"-21.64028, -41.05111",20606
Umm Al Quwain City,"25.56473, 55.55517",62747
Gladstone,"-23.84852, 151.25775",30489
Clanton Park,"43.74198, -79.4463",16472
Leopoldsburg,"51.11667, 5.25",14149
Nanping,"29.08639, 106.98722",32888
Baihe,"31.26348, 108.46372",40937
Santa Lucía,"10.3242, -74.96017",15760
Blaydon-on-Tyne,"54.96461, -1.71392",14974
Barnham,"50.8312, -0.63789",11881
Highams Park,"51.60768, -0.00579",11355
Wachtberg,"50.63333, 7.1",20032
Chelghoum el Aïd,"36.16286, 6.16651",54495
Sung Wong Toi,"22.32466, 114.19149",19078
Palani,"10.45034, 77.5209",66085
Nakodar,"31.12586, 75.47508",32405
Kūdligi,"14.905, 76.38527",22975
Sahavato,"-20.6, 48.33333",28000
Coondapoor,"13.63126, 74.6902",28491
Osmaniye,"37.07417, 36.24778",202837
Bismil,"37.84514, 40.65931",74493
Chervonopartyzansk,"48.07613, 39.79618",15218
Pine Bluff,"34.22843, -92.0032",44772
Mesquite,"36.80553, -114.06719",17496
Everett,"47.97898, -122.20208",108010
Gurlan,"41.84123, 60.39268",27506
Castelnovo ne'Monti,"44.43556, 10.40329",10046
Kadena,"26.36519, 127.75857",13671
Murata,"38.11858, 140.72434",10675
Wanguru,"-0.68393, 37.35701",51722
Haenam,"34.57111, 126.59889",23928
Luang Prabang,"19.8933, 102.1525",47378
Albertirsa,"47.24315, 19.61686",11864
Tayu,"-6.5397, 111.0518",26413
Tonk,"26.16638, 75.78824",151331
Rāmganj Mandi,"24.64648, 75.94325",35754
Punāsa,"22.23507, 76.39335",350000
Kollegāl,"12.15449, 77.11051",56497
Kankipādu,"16.4353, 80.76715",14249
South Suffolk,"36.71709, -76.59023",80690
Bihār Sharīf,"25.20084, 85.52389",244230
Lady Lake,"28.91749, -81.92286",14717
Covington,"33.59678, -83.86018",13916
Bobenheim-Roxheim,"49.5875, 8.35778",10106
Gualaceo,"-2.89264, -78.77814",17122
Santa Lucía,"27.91174, -15.54071",71863
Lucena,"37.40881, -4.48522",42248
Baeza,"37.99384, -3.47103",16253
Patzicía,"14.63194, -90.92659",21249
Jeumont,"50.29658, 4.10108",10964
Champs-sur-Marne,"48.85, 2.6",27776
Nogent-sur-Oise,"49.27158, 2.47074",19690
Wendlingen am Neckar,"48.67124, 9.37632",15728
Igugunu,"-4.56667, 34.63333",22810
Llazicë,"42.55528, 20.76333",19863
Kgwaripe,"-28.37007, 32.34879",11519
Kikuyu,"-1.24627, 36.66291",323881
José Mariano Jiménez,"27.13076, -104.92391",34281
San Salvador Tizatlalli,"19.26028, -99.59083",61367
West Chester,"39.96097, -75.60804",19842
Urzhum,"57.11442, 49.99925",11333
Herzberg,"51.68692, 13.22016",11033
Farum,"55.80858, 12.36066",20312
Forest Park,"33.62205, -84.36909",19383
Lens,"50.43302, 2.82791",38265
Squamish,"49.69925, -123.15631",17587
Louisville,"38.25424, -85.75941",243639
Münsingen,"46.87298, 7.561",10928
Los Ángeles,"-37.46973, -72.35366",125430
Tchéboa,"9.02871, 13.1848",35199
Schmalkalden,"50.72136, 10.44386",19553
Ancien-Prozi,"7.66885, -6.96881",31245
Errenteria,"43.31195, -1.90234",38767
Saonré,"12.2751, -1.57692",47728
Regeneração,"-6.23122, -42.68691",13608
Riberalta,"-11.01026, -66.05257",99070
Vargem Grande,"-3.54306, -43.91583",21419
Jucás,"-6.52528, -39.5275",14821
Videira,"-27.00833, -51.15167",42440
Joaçaba,"-27.17806, -51.50472",23516
Arroio Grande,"-32.2375, -53.08694",16117
Rechytsa,"52.3617, 30.3916",65400
Markland Wood,"43.63347, -79.57569",10554
Norfolk County,"42.8334, -80.38297",60847
Santa Lucía,"-28.98984, -59.10076",14056
Coronel Suárez,"-37.45859, -61.93294",27000
Surrey Hills,"-37.81667, 145.1",13655
Melton South,"-37.70773, 144.57493",11362
Wingene,"51.05782, 3.27359",12887
Victoria,"14.2277, 121.3292",24456
Zürich (Kreis 11) / Affoltern,"47.41814, 8.5122",17241
San Leonardo,"15.363, 120.9639",34743
Rizal,"15.7118, 121.1061",26201
Sint-Pieters-Leeuw,"50.77926, 4.24355",30446
Oudenaarde,"50.85168, 3.60891",31866
Kot Sultan,"30.7737, 70.93125",10000
Lubartów,"51.46026, 22.60952",22839
Veendam,"53.10667, 6.87917",28155
Eerbeek,"52.105, 6.05833",10103
Lunetten,"52.06178, 5.13474",11679
Volda,"62.146, 6.07108",10809
Curundú,"8.97092, -79.54612",16361
Kandé,"9.95778, 1.04472",11466
Satuek,"15.29703, 103.29192",11481
Nakhon Pathom,"13.8196, 100.04427",117927
Houmt El Souk,"33.87576, 10.85745",62583
Sanxia,"24.93448, 121.37139",115185
Sasovo,"54.35369, 41.91986",29858
Zelenogorsk,"60.19968, 29.70183",14958
Salavat,"53.38365, 55.90773",159893
Novomikhaylovskiy,"44.2626, 38.8585",10370
Meleuz,"52.96467, 55.93277",65362
Alleroy,"43.21711, 46.28209",10247
Callaway,"30.15298, -85.56993",14405
Gulf Gate Estates,"27.25173, -82.51471",10911
Hushitai,"41.94175, 123.50266",61979
Qingxi,"29.79712, 107.45755",29285
Famagusta,"35.12489, 33.94135",42526
la Guineueta,"41.43884, 2.16893",15147
Tórshavn,"62.00973, -6.77164",13200
Lun Pequeño,"6.03778, 125.28389",11541
Offa,"8.14911, 4.72074",113830
Ejigbo,"7.90303, 4.31364",138357
Agaie,"9.0085, 6.31821",11742
IJmuiden,"52.4603, 4.61048",31925
Real del Valle (El Paraíso) [Fraccionamiento],"20.54556, -103.36972",13949
Assebroek,"51.19367, 3.2623",19772
Praia Grande,"-24.00583, -46.40278",250027
High Park-Swansea,"43.64506, -79.46787",23925
Khōst,"33.33951, 69.92041",96123
Puerto Eldorado,"-26.40843, -54.69463",54189
Travnik,"44.22637, 17.66583",31127
Xo‘jaobod,"40.66886, 72.56002",16889
Duaca,"10.28554, -69.16244",39653
Chimichagua,"9.25778, -73.81228",30289
Coín,"36.65947, -4.75639",21866
Qina,"26.30938, 100.62513",36823
Hezhou,"24.40357, 111.56675",1005490
Xichuan,"35.0305, 106.063",29394
Weiwu'eryuqiwen,"43.75598, 81.86063",18669
Aguachica,"8.30844, -73.6166",97525
Moroleón,"20.12571, -101.19208",43200
Conjunto Habitacional Villas del Pedregal,"19.68361, -101.30361",10934
Lunteren,"52.085, 5.62222",12510
El Fahs,"36.37419, 9.90651",23561
Rubizhne,"49.00606, 38.38119",55247
Hunters Creek,"28.36056, -81.42229",14321
Parkland,"47.15538, -122.43401",35803
West Lake Stevens,"47.99343, -122.1018",21047
Wailuku,"20.89133, -156.50604",15313
Corralillo,"22.98212, -80.58556",51881
Rahlstedt,"53.60194, 10.15667",92511
Lakhdaria,"36.56463, 3.5933",42886
Águilas,"37.4063, -1.58289",34533
Gatumba,"-3.33333, 29.25",18104
Rurrenabaque,"-14.44125, -67.52781",11749
Azul,"-36.77803, -59.85848",53941
Embalse,"-32.20681, -64.40064",15900
Neutral Bay,"-33.83784, 151.2175",10250
Schnelsen,"53.63743, 9.91969",30100
Anyama,"5.49462, -4.05183",133905
Duramē,"7.23333, 37.88333",65900
Rāhon,"31.05275, 76.11907",12485
Mungeli,"22.06566, 81.68543",27698
Joué-lès-Tours,"47.34907, 0.66513",37466
Sanderstead,"51.33591, -0.07778",12777
Mold,"53.16674, -3.14143",10058
Cherrapunji,"25.30089, 91.69619",11090
Tonekābon,"36.81626, 50.87376",37501
Gwangju,"37.41, 127.25722",81780
El Guerdane,"30.37757, -9.01997",13445
Motul,"21.09571, -89.28332",23240
Huejutla de Reyes,"21.14, -98.41944",40015
Landover,"38.934, -76.89664",23078
Whitehall,"39.96673, -82.88546",18694
Hanover Park,"41.99947, -88.14507",38333
Spring Valley,"41.11315, -74.04375",32598
Ardmore,"40.00678, -75.28546",12455
Tsaratanana,"-16.79706, 47.65165",26446
Agropoli,"40.34923, 14.99067",17335
Sōja,"34.67534, 133.75091",67059
Damme,"51.25147, 3.28144",10924
Chambly,"45.45008, -73.28246",22608
Yaxing,"19.44778, 109.26273",76427
Guemar,"33.48529, 6.79693",48413
Malacky,"48.43604, 17.02188",17773
Ruqi,"9.97293, 43.4276",148702
Abadan,"38.05415, 58.19721",39481
Belek,"36.86278, 31.05556",73260
Chervonohrad,"50.39105, 24.23514",64297
Progresso,"44.56892, 11.3642",12441
Tsushima,"35.16667, 136.71667",67658
Aguascalientes,"21.88234, -102.28259",722250
Leesten,"52.1279, 6.23217",10000
Krong Kep,"10.48291, 104.31672",11658
Kanggye,"40.96946, 126.58523",209530
Chinch'ŏn,"36.85667, 127.44333",60964
Goulmima,"31.69227, -4.95256",17929
Peto,"20.12776, -88.92282",19821
Oxkutzkab,"20.30734, -89.41809",23096
Wola,"52.23477, 20.96004",140958
Waterbury,"41.55815, -73.0515",108802
Verde Village,"34.7105, -112.01152",11605
Marhamat,"40.48048, 72.31388",14646
Stutterheim,"-32.57076, 27.42396",35510
Ilinge,"-31.97676, 27.04267",12806
