Name,Coordinates,Population
Trélazé,"47.44629, -0.46652",11740
Akanda,"0.60732, 9.32933",41524
Peterborough,"52.57364, -0.24777",163379
Illkirch-Graffenstaden,"48.52894, 7.71523",27261
Port Said,"31.26531, 32.3019",780515
Wushan,"30.93725, 107.9466",19829
Horizonte,"-4.09802, -38.486",51171
Santa Cruz do Rio Pardo,"-22.89889, -49.6325",37336
Artur Nogueira,"-22.57306, -47.1725",40403
Bécancour,"46.34106, -72.43224",11134
Vavoua,"7.38194, -6.47778",86977
Boundiali,"9.52167, -6.48694",51803
Kamimaruko,"36.31865, 138.27329",25403
Las Delicias,"32.40889, -116.94361",15486
Kristinehamn,"59.30978, 14.10808",18557
Buldan,"38.045, 28.83056",14811
Bozova,"37.3625, 38.52667",21502
Mabamba,"-3.59833, 30.50194",14140
Orekhovo-Borisovo Severnoye,"55.61667, 37.68333",128000
Brateyevo,"55.63755, 37.76438",102000
Qal‘at Bīshah,"20.00054, 42.6052",81828
Ying’awati,"37.29875, 79.83031",23624
Longnan,"33.39791, 104.91703",85826
Haan,"51.19382, 7.0133",29431
Buxtehude,"53.46716, 9.68636",38192
Bergisch Gladbach,"50.9856, 7.13298",106184
Annaberg-Buchholz,"50.57953, 13.00627",23092
Ostfildern,"48.72704, 9.24954",33598
Tadmaït,"36.74413, 3.90045",20952
Murcia,"37.98704, -1.13004",460349
Alcúdia,"39.85316, 3.12138",19071
Abaeté,"-19.16, -45.44583",20370
Paris,"43.2, -80.38333",12310
Recreo,"-31.49076, -60.73299",12798
Tlajomulco de Zúñiga,"20.47421, -103.44654",30273
Empalme,"27.96166, -110.81411",42516
Gouré,"13.9835, 10.27035",24752
Azángaro,"-14.90843, -70.19616",13290
Macomer,"40.26233, 8.76733",10375
Legnago,"45.19365, 11.30227",21646
Budapest XV. kerület,"47.56263, 19.11681",80218
Rembangan,"-6.7036, 111.3416",44030
Ponnūru,"16.06547, 80.55203",57170
Nādāpuram,"11.68465, 75.65493",39512
Koch Bihār,"26.32539, 89.44508",78737
Pessac,"44.80565, -0.6324",57944
Puttūr,"13.44189, 79.55314",30986
Poole,"50.71429, -1.98458",150092
Ladywell,"51.45452, -0.02227",14515
Balayan,"13.93714, 120.73224",50115
Ostrzeszów,"51.4264, 17.93355",14446
Pombal,"39.91674, -8.62847",17355
La Mohammedia,"36.67446, 10.15633",66593
Chornomors’k,"46.29914, 30.65529",57983
Chitila,"44.50806, 25.98222",12788
Abancay,"-13.63389, -72.88139",72277
Tanauan,"14.08627, 121.14975",68456
Tacheng,"46.74535, 82.95847",161037
Brezina,"33.09892, 1.26082",19084
Bordj Zemoura,"36.27462, 4.85668",19782
Ceuti,"38.07859, -1.27467",10174
Madīnat ‘Īsá,"26.17361, 50.54778",38090
Anicuns,"-16.46111, -49.96167",15684
Lobatse,"-25.22435, 25.67728",29772
Sanza Pombo,"-7.31473, 16.0024",23000
Campo Largo,"-26.80077, -60.84215",10743
Camperdown,"-33.88965, 151.17642",11336
Sitampiky,"-16.66667, 46.1",21000
Caselle Torinese,"45.17458, 7.6429",11817
Alba,"44.6999, 8.0347",24923
Lons-le-Saunier,"46.67535, 5.55575",20678
Dotzheim,"50.0746, 8.21021",27557
Bergkamen,"51.61633, 7.64451",52329
St. Pauli,"53.557, 9.964",21902
Brøndbyvester,"55.6455, 12.41008",20000
Sedrata,"36.12868, 7.53376",45300
Sīdī Ghāzī,"31.21114, 31.05119",28136
San Pedro del Pinatar,"37.83568, -0.79102",23738
Estepona,"36.42764, -5.14589",65592
Ayamonte,"37.21329, -7.40807",20334
Port Royal,"32.37896, -80.69265",12122
San Antonio,"29.42412, -98.49363",1434625
Wells Branch,"30.44604, -97.67945",12120
Eatontown,"40.29622, -74.05097",12301
Haverstraw,"41.19759, -73.96458",12187
